variable	EnvSeason	aminoglycoside	bacitracin	beta_lactam	chloramphenicol	ExSepctra	macrolide-lincosamide-streptogramin	multidrug	pipetide_antibiotics	quinolone	rifamycin	sulfonamide	tetracycline
Sum.TSwLTPlsh	Swab.Sum	8.03707395960033e-05	0.00661840261705268	0.143505306032529	0.000232602323294321	0.0233851141920428	0.317906641330465	0.0446020581698732	0.0337241606121056	1.93081779540556e-05	0	0	0.321232584165728
Sum.TSwLTPwwc	Swab.Sum	0.000829344573601175	0.00696579220153188	0.0582955365470315	0.00404220702493035	0.0320962495559231	0.364143465178596	0.293214030222179	0.0273212076216424	0.000733606435580008	0	0	0.191275121130625
Sum.TSwWTPdfg	Swab.Sum	0.0250003901012069	0.0127756835033647	0.0557513449240701	0.0100547411837561	0.0768476820400231	0.565751499016268	0.480707881129992	0.0104981086857184	4.73346574500956e-05	0	0.00456282791145226	0.20407439392194
Sum.TSwWTPdzl	Swab.Sum	0.00254453699000335	0.00907936485885144	0.104796641182435	0.00102903719516462	0.0526752866986456	0.384340584584397	0.276293964047468	0.0201961564834017	0	0	0.000466502459823722	0.195245304103116
Sum.TSwWTPmlj	Swab.Sum	0.00281158801962879	0.0112209222990278	0.0269582705358426	0.00227344745402795	0.0898956534482599	0.498269050851376	0.567779402800131	0.00443549449190191	0	3.12565828788319e-05	0.000438470441679511	0.21523952081034
Sum.TSwWTPrzp	Swab.Sum	0.00846037616744565	0.00610466947467147	0.0746588848713653	0.00243139234667225	0.0260560888499711	0.692323995456533	0.15459709804995	0.0195323515899741	0	0	0.000923136611256785	0.410831062279798
Sum.TSwWTPshy	Swab.Sum	0.0151930900322706	0.00546645923911883	0.0910085380839296	0.0245842464929015	0.0291670463324628	0.725510886434688	0.415334350553605	0.0176075227799648	0.000987473151415235	0.000411324503677953	0.00209555206843279	0.279030074766767
Sum.TSwWTPwdm	Swab.Sum	0.01251451165476	0.0200488821914554	0.115469079421419	0.00154892769953206	0.0692348253253712	0.700428618519069	0.474674832733121	0.0142655723563178	2.04851726200486e-05	0	0.00317749532469613	0.30578875909713
Sum.TSwWTPyjq	Swab.Sum	0.00201852041347266	0.00581366211752327	0.0426227446760149	0.0088271042908033	0.0246782006447839	0.54936058378644	0.30220169159274	0.0106460787146831	0.000548866194671561	0.000136981986138505	0	0.180077418869076
Sum.TSwWTPzyl	Swab.Sum	0.00345941010366079	0.0103182465715488	0.0518796939198833	0.000384066989022479	0.0446652206572271	0.538325749588924	0.408274814590563	0.0157945693852253	5.48356091388589e-05	0.00124753485616688	0.000274308952761377	0.176740355079668
Sum.WTPair01	Air.Sum	0.0393507228804588	0.140256961525344	0.0192549135508191	0.0121072681846844	0.0202235613200056	0.0948528228408491	0.244404036555198	0.0830842805033176	0.00376730335131937	0.00419682545529377	0.025277580819831	0.0467933824067448
Sum.WTPair02	Air.Sum	0.0319052697281084	0.133062592183343	0.0245147325033723	0.00899721258718019	0.0240167875475553	0.09700322214384	0.311403515530432	0.113710990394811	0.00408356912836768	0.00254076020683159	0.0208857233091935	0.0481214269468377
